game_id,location,description,gamedate,opponent,match_score
2,USM,USM v.s. University of New Hampshire! Located at USM on 2021-11-23 20:12:46.,2021-11-23 20:12:46,University of New Hampshire,
3,Plymouth State University,USM v.s. Plymouth State University! Located at Plymouth State University on 2021-11-24 09:53:53.,2021-11-24 09:53:53,Plymouth State University,
4,Merrimack College,USM v.s. Merrimack College! Located at Merrimack College on 2021-11-25 19:24:45.,2021-11-25 19:24:45,Merrimack College,
5,Plymouth State University,USM v.s. Plymouth State University! Located at Plymouth State University on 2021-11-26 12:08:56.,2021-11-26 12:08:56,Plymouth State University,
6,Bates College,USM v.s. Bates College! Located at Bates College on 2021-11-26 20:32:35.,2021-11-26 20:32:35,Bates College,
7,Colby College,USM v.s. Colby College! Located at Colby College on 2021-12-11 13:56:16.,2021-12-11 13:56:16,Colby College,
8,USM,USM v.s. University of Maine Orino! Located at USM on 2021-12-14 01:57:46.,2021-12-14 01:57:46,University of Maine Orino,
9,USM,USM v.s. Bates College! Located at USM on 2021-12-14 23:27:30.,2021-12-14 23:27:30,Bates College,
10,Bates College,USM v.s. Bates College! Located at Bates College on 2022-01-25 17:58:37.,2022-01-25 17:58:37,Bates College,
11,University of New England,USM v.s. University of New England! Located at University of New England on 2022-01-30 17:00:44.,2022-01-30 17:00:44,University of New England,
12,Colby College,USM v.s. Colby College! Located at Colby College on 2022-02-01 20:23:13.,2022-02-01 20:23:13,Colby College,
13,USM,USM v.s. Colby College! Located at USM on 2022-02-02 14:03:15.,2022-02-02 14:03:15,Colby College,
14,Merrimack College,USM v.s. Merrimack College! Located at Merrimack College on 2022-02-04 11:31:18.,2022-02-04 11:31:18,Merrimack College,
15,Plymouth State University,USM v.s. Plymouth State University! Located at Plymouth State University on 2022-02-22 07:57:00.,2022-02-22 07:57:00,Plymouth State University,
16,University of Maine Orino,USM v.s. University of Maine Orino! Located at University of Maine Orino on 2022-02-27 05:37:01.,2022-02-27 05:37:01,University of Maine Orino,
17,University of New Hampshire,USM v.s. University of New Hampshire! Located at University of New Hampshire on 2022-03-05 08:51:08.,2022-03-05 08:51:08,University of New Hampshire,
18,Colby College,USM v.s. Colby College! Located at Colby College on 2022-04-21 13:01:42.,2022-04-21 13:01:42,Colby College,
19,USM,USM v.s. University of Maine Orino! Located at USM on 2022-04-24 08:09:20.,2022-04-24 08:09:20,University of Maine Orino,
20,Bates College,USM v.s. Bates College! Located at Bates College on 2022-05-31 10:29:26.,2022-05-31 10:29:26,Bates College,
21,Merrimack College,USM v.s. Merrimack College! Located at Merrimack College on 2022-06-11 11:28:52.,2022-06-11 11:28:52,Merrimack College,
22,USM,USM v.s. Colby College! Located at USM on 2022-07-14 21:16:49.,2022-07-14 21:16:49,Colby College,
23,USM,USM v.s. University of Maine Orino! Located at USM on 2022-07-29 15:55:02.,2022-07-29 15:55:02,University of Maine Orino,
24,USM,USM v.s. Colby College! Located at USM on 2022-08-08 10:01:04.,2022-08-08 10:01:04,Colby College,
25,USM,USM v.s. University of New England! Located at USM on 2022-08-09 20:28:39.,2022-08-09 20:28:39,University of New England,
26,Bates College,USM v.s. Bates College! Located at Bates College on 2022-08-11 00:44:00.,2022-08-11 00:44:00,Bates College,
27,USM,USM v.s. Colby College! Located at USM on 2022-08-12 01:50:09.,2022-08-12 01:50:09,Colby College,
28,USM,USM v.s. Bates College! Located at USM on 2022-08-29 23:51:58.,2022-08-29 23:51:58,Bates College,
29,Colby College,USM v.s. Colby College! Located at Colby College on 2022-09-01 02:36:59.,2022-09-01 02:36:59,Colby College,
30,Merrimack College,USM v.s. Merrimack College! Located at Merrimack College on 2022-09-01 08:20:51.,2022-09-01 08:20:51,Merrimack College,
31,USM,USM v.s. Bates College! Located at USM on 2022-09-30 17:09:00.,2022-09-30 17:09:00,Bates College,
32,USM,USM v.s. University of Maine Orino! Located at USM on 2022-10-04 22:05:29.,2022-10-04 22:05:29,University of Maine Orino,
33,USM,USM v.s. Plymouth State University! Located at USM on 2022-10-08 19:25:57.,2022-10-08 19:25:57,Plymouth State University,
34,USM,USM v.s. Merrimack College! Located at USM on 2022-10-12 19:22:16.,2022-10-12 19:22:16,Merrimack College,
35,Bates College,USM v.s. Bates College! Located at Bates College on 2022-11-17 08:37:59.,2022-11-17 08:37:59,Bates College,
36,Bates College,USM v.s. Bates College! Located at Bates College on 2022-12-14 20:07:13.,2022-12-14 20:07:13,Bates College,
37,University of New England,USM v.s. University of New England! Located at University of New England on 2022-12-16 07:54:19.,2022-12-16 07:54:19,University of New England,
38,Plymouth State University,USM v.s. Plymouth State University! Located at Plymouth State University on 2022-12-18 10:49:56.,2022-12-18 10:49:56,Plymouth State University,
39,USM,USM v.s. University of New Hampshire! Located at USM on 2022-12-24 14:57:20.,2022-12-24 14:57:20,University of New Hampshire,
40,USM,USM v.s. Bates College! Located at USM on 2023-01-02 04:34:54.,2023-01-02 04:34:54,Bates College,
41,Colby College,USM v.s. Colby College! Located at Colby College on 2023-01-02 16:03:38.,2023-01-02 16:03:38,Colby College,
42,USM,USM v.s. University of New England! Located at USM on 2023-01-02 23:22:16.,2023-01-02 23:22:16,University of New England,
43,USM,USM v.s. University of New England! Located at USM on 2023-01-21 22:53:19.,2023-01-21 22:53:19,University of New England,
44,Colby College,USM v.s. Colby College! Located at Colby College on 2023-02-02 17:41:28.,2023-02-02 17:41:28,Colby College,
45,University of Maine Orino,USM v.s. University of Maine Orino! Located at University of Maine Orino on 2023-02-05 13:26:35.,2023-02-05 13:26:35,University of Maine Orino,
46,Bates College,USM v.s. Bates College! Located at Bates College on 2023-03-28 09:26:50.,2023-03-28 09:26:50,Bates College,
47,USM,USM v.s. Colby College! Located at USM on 2023-04-20 09:06:10.,2023-04-20 09:06:10,Colby College,
48,USM,USM v.s. University of New Hampshire! Located at USM on 2023-04-26 06:45:40.,2023-04-26 06:45:40,University of New Hampshire,
49,USM,USM v.s. Merrimack College! Located at USM on 2023-05-06 12:12:45.,2023-05-06 12:12:45,Merrimack College,
50,University of New England,USM v.s. University of New England! Located at University of New England on 2023-06-01 23:26:05.,2023-06-01 23:26:05,University of New England,
51,University of Maine Orino,USM v.s. University of Maine Orino! Located at University of Maine Orino on 2023-07-12 13:37:49.,2023-07-12 13:37:49,University of Maine Orino,
52,USM,USM v.s. University of New Hampshire! Located at USM on 2023-08-27 03:51:15.,2023-08-27 03:51:15,University of New Hampshire,
53,University of New Hampshire,USM v.s. University of New Hampshire! Located at University of New Hampshire on 2023-09-08 10:29:21.,2023-09-08 10:29:21,University of New Hampshire,
54,University of New England,USM v.s. University of New England! Located at University of New England on 2023-09-12 19:48:26.,2023-09-12 19:48:26,University of New England,
55,USM,USM v.s. University of New England! Located at USM on 2023-09-17 20:05:19.,2023-09-17 20:05:19,University of New England,
56,USM,USM v.s. University of Maine Orino! Located at USM on 2023-09-22 04:20:51.,2023-09-22 04:20:51,University of Maine Orino,
57,University of Maine Orino,USM v.s. University of Maine Orino! Located at University of Maine Orino on 2023-10-17 05:28:19.,2023-10-17 05:28:19,University of Maine Orino,
58,University of Maine Orino,USM v.s. University of Maine Orino! Located at University of Maine Orino on 2023-10-31 03:01:18.,2023-10-31 03:01:18,University of Maine Orino,
59,USM,USM v.s. Colby College! Located at USM on 2023-11-15 06:12:10.,2023-11-15 06:12:10,Colby College,
60,USM,USM v.s. Merrimack College! Located at USM on 2023-11-29 10:08:26.,2023-11-29 10:08:26,Merrimack College,
61,Bates College,USM v.s. Bates College! Located at Bates College on 2023-12-09 06:33:11.,2023-12-09 06:33:11,Bates College,
62,Bates College,USM v.s. Bates College! Located at Bates College on 2023-12-12 06:58:15.,2023-12-12 06:58:15,Bates College,
63,Plymouth State University,USM v.s. Plymouth State University! Located at Plymouth State University on 2023-12-13 23:36:36.,2023-12-13 23:36:36,Plymouth State University,
64,Merrimack College,USM v.s. Merrimack College! Located at Merrimack College on 2023-12-15 22:09:40.,2023-12-15 22:09:40,Merrimack College,
65,University of Maine Orino,USM v.s. University of Maine Orino! Located at University of Maine Orino on 2023-12-31 14:48:21.,2023-12-31 14:48:21,University of Maine Orino,
66,USM,USM v.s. University of New England! Located at USM on 2024-01-06 17:51:18.,2024-01-06 17:51:18,University of New England,
67,University of Maine Orino,USM v.s. University of Maine Orino! Located at University of Maine Orino on 2024-01-07 21:21:03.,2024-01-07 21:21:03,University of Maine Orino,
68,USM,USM v.s. University of Maine Orino! Located at USM on 2024-01-15 12:47:48.,2024-01-15 12:47:48,University of Maine Orino,
69,USM,USM v.s. Bates College! Located at USM on 2024-01-17 21:40:46.,2024-01-17 21:40:46,Bates College,
70,University of New England,USM v.s. University of New England! Located at University of New England on 2024-01-21 16:08:59.,2024-01-21 16:08:59,University of New England,
71,USM,USM v.s. University of New England! Located at USM on 2024-01-23 02:06:01.,2024-01-23 02:06:01,University of New England,
72,USM,USM v.s. University of Maine Orino! Located at USM on 2024-02-11 00:18:51.,2024-02-11 00:18:51,University of Maine Orino,
73,University of New Hampshire,USM v.s. University of New Hampshire! Located at University of New Hampshire on 2024-03-09 04:12:32.,2024-03-09 04:12:32,University of New Hampshire,
74,USM,USM v.s. University of New England! Located at USM on 2024-03-09 11:58:20.,2024-03-09 11:58:20,University of New England,
75,USM,USM v.s. Plymouth State University! Located at USM on 2024-03-21 09:11:08.,2024-03-21 09:11:08,Plymouth State University,
76,USM,USM v.s. Plymouth State University! Located at USM on 2024-03-22 04:07:08.,2024-03-22 04:07:08,Plymouth State University,
77,USM,USM v.s. Colby College! Located at USM on 2024-03-24 02:47:40.,2024-03-24 02:47:40,Colby College,
78,Plymouth State University,USM v.s. Plymouth State University! Located at Plymouth State University on 2024-03-24 12:05:14.,2024-03-24 12:05:14,Plymouth State University,
79,USM,USM v.s. Bates College! Located at USM on 2024-03-26 09:25:00.,2024-03-26 09:25:00,Bates College,
80,University of Maine Orino,USM v.s. University of Maine Orino! Located at University of Maine Orino on 2024-04-03 04:19:54.,2024-04-03 04:19:54,University of Maine Orino,
81,USM,USM v.s. University of Maine Orino! Located at USM on 2024-04-07 00:55:14.,2024-04-07 00:55:14,University of Maine Orino,
82,USM,USM v.s. University of New England! Located at USM on 2024-04-12 23:40:04.,2024-04-12 23:40:04,University of New England,
