game_id,set_num,usm_score,opponent_score
2,1,25,15
2,2,25,22
2,3,25,11
3,1,25,21
3,2,25,12
3,3,8,25
3,4,25,6
4,1,25,17
4,2,4,25
4,3,25,18
4,4,12,25
4,5,11,25
5,1,25,21
5,2,7,25
5,3,25,15
5,4,25,7
6,1,9,25
6,2,7,25
6,3,7,25
7,1,7,25
7,2,25,7
7,3,7,25
7,4,7,25
8,1,25,16
8,2,25,13
8,3,25,23
9,1,25,8
9,2,1,25
9,3,25,22
9,4,25,13
10,1,25,13
10,2,13,25
10,3,13,25
10,4,13,25
11,1,13,25
11,2,13,25
11,3,25,13
11,4,13,25
12,1,5,25
12,2,25,22
12,3,25,16
12,4,4,25
12,5,25,21
13,1,5,25
13,2,18,25
13,3,6,25
14,1,25,16
14,2,6,25
14,3,17,25
14,4,25,17
14,5,25,3
15,1,10,25
15,2,25,23
15,3,20,25
15,4,25,12
15,5,25,12
16,1,25,7
16,2,25,6
16,3,20,25
16,4,25,10
17,1,25,2
17,2,25,21
17,3,10,25
17,4,25,12
18,1,25,13
18,2,21,25
18,3,25,23
18,4,19,25
18,5,7,25
19,1,25,7
19,2,7,25
19,3,7,25
19,4,7,25
20,1,7,25
20,2,7,25
20,3,25,7
20,4,7,25
21,1,7,25
21,2,25,7
21,3,7,25
21,4,7,25
22,1,25,21
22,2,25,14
22,3,25,23
23,1,25,23
23,2,23,25
23,3,23,25
23,4,23,25
24,1,25,1
24,2,21,25
24,3,25,20
24,4,25,2
25,1,25,1
25,2,25,10
25,3,25,11
26,1,13,25
26,2,25,4
26,3,25,21
26,4,16,25
26,5,14,25
27,1,25,6
27,2,19,25
27,3,17,25
27,4,25,20
27,5,25,8
28,1,13,25
28,2,25,14
28,3,12,25
28,4,25,14
28,5,25,19
29,1,25,5
29,2,25,4
29,3,25,6
30,1,25,21
30,2,9,25
30,3,25,5
30,4,1,25
30,5,9,25
31,1,2,25
31,2,25,10
31,3,25,22
31,4,25,17
32,1,5,25
32,2,25,6
32,3,25,8
32,4,25,14
33,1,25,2
33,2,25,5
33,3,25,6
34,1,14,25
34,2,8,25
34,3,6,25
35,1,10,25
35,2,25,22
35,3,25,5
35,4,25,22
36,1,25,8
36,2,25,22
36,3,25,7
37,1,4,25
37,2,21,25
37,3,14,25
38,1,25,14
38,2,14,25
38,3,14,25
38,4,14,25
39,1,14,25
39,2,14,25
39,3,25,14
39,4,14,25
40,1,21,25
40,2,25,21
40,3,7,25
40,4,25,12
40,5,14,25
41,1,25,8
41,2,25,5
41,3,25,4
42,1,25,4
42,2,4,25
42,3,4,25
42,4,4,25
43,1,25,22
43,2,25,7
43,3,25,12
44,1,17,25
44,2,25,10
44,3,25,5
44,4,11,25
44,5,9,25
45,1,25,3
45,2,25,1
45,3,2,25
45,4,25,12
46,1,22,25
46,2,25,11
46,3,25,13
46,4,25,19
47,1,25,16
47,2,25,3
47,3,19,25
47,4,22,25
47,5,25,19
48,1,25,19
48,2,15,25
48,3,2,25
48,4,25,18
48,5,3,25
49,1,25,4
49,2,6,25
49,3,25,21
49,4,2,25
49,5,25,3
50,1,25,13
50,2,13,25
50,3,3,25
50,4,25,4
50,5,25,18
51,1,16,25
51,2,25,9
51,3,4,25
51,4,25,15
51,5,3,25
52,1,25,13
52,2,25,19
52,3,25,1
53,1,7,25
53,2,25,4
53,3,25,18
53,4,25,10
54,1,17,25
54,2,20,25
54,3,20,25
55,1,17,25
55,2,21,25
55,3,7,25
56,1,25,18
56,2,25,2
56,3,25,5
57,1,18,25
57,2,17,25
57,3,19,25
58,1,13,25
58,2,14,25
58,3,21,25
59,1,21,25
59,2,1,25
59,3,22,25
